episode,timestep,episode_reward,episode_length,action_std,termination_reason
1,34,-6.1,12.0,0.2,collision
2,44,-5.9,10.0,0.2,collision
3,55,-6.0,11.0,0.2,collision
4,64,-5.8,9.0,0.2,collision
5,78,-6.3,14.0,0.2,collision
6,88,-5.9,10.0,0.2,collision
7,99,-6.0,11.0,0.2,collision
8,118,-6.800000000000001,19.0,0.2,collision
9,127,-5.8,9.0,0.2,collision
10,1,128,1.8196413063443935e+21,0.5453336089849472,-18.287948608398438,0.2,-0.1,-0.1
10,140,-6.2,13.0,0.2,collision
11,152,-6.1,12.0,0.2,collision
12,165,-6.2,13.0,0.2,collision
13,173,-5.7,8.0,0.2,collision
14,185,-6.1,12.0,0.2,collision
15,245,-10.899999999999995,60.0,0.2,collision
16,2,256,2.915770389431495e+18,0.5859513518710932,-18.287948608398438,0.2,-0.1,-1.0999999999999999
16,262,-6.6000000000000005,17.0,0.2,collision
17,279,-6.6000000000000005,17.0,0.2,collision
18,288,-5.8,9.0,0.2,collision
19,302,-6.3,14.0,0.2,collision
20,312,-5.9,10.0,0.2,collision
21,326,-6.3,14.0,0.2,collision
22,337,-6.0,11.0,0.2,collision
23,349,-6.1,12.0,0.2,collision
24,358,-5.8,9.0,0.2,collision
25,372,-6.3,14.0,0.2,collision
26,381,-0.8999999999999999,9.0,0.2,collision
27,3,384,6.722491351847451e+20,0.49916714678208035,-18.287948608398438,0.2,-0.1,-0.30000000000000004
27,392,-6.0,11.0,0.2,collision
28,408,-6.5,16.0,0.2,collision
29,418,-5.9,10.0,0.2,collision
30,427,-5.8,9.0,0.2,collision
31,436,-5.8,9.0,0.2,collision
32,452,-6.5,16.0,0.2,collision
33,477,-7.4,25.0,0.2,collision
34,492,-6.4,15.0,0.2,collision
35,500,-5.7,8.0,0.2,collision
36,4,512,1.2556194861470245e+19,2.607263635098934,-18.287948608398438,0.2,-0.1,-1.2
36,519,-1.9000000000000006,19.0,0.2,collision
37,527,-5.7,8.0,0.2,collision
38,540,-6.2,13.0,0.2,collision
39,602,-11.099999999999994,62.0,0.2,collision
40,613,-6.0,11.0,0.2,collision
41,622,-5.8,9.0,0.2,collision
42,632,-5.9,10.0,0.2,collision
43,5,640,1.1447756827737093e+17,0.4682680442929268,-18.287948608398438,0.2,-0.1,-0.7999999999999999
43,652,-6.9,20.0,0.2,collision
44,674,-7.1000000000000005,22.0,0.2,collision
45,687,-6.2,13.0,0.2,collision
46,695,-5.7,8.0,0.2,collision
47,704,-5.8,9.0,0.2,collision
48,715,-6.0,11.0,0.2,collision
49,734,-6.800000000000001,19.0,0.2,collision
50,746,-6.1,12.0,0.2,collision
51,757,-6.0,11.0,0.2,collision
52,766,-5.8,9.0,0.2,collision
53,6,768,2.296722035738411e+18,0.5128574073314667,-18.287948608398438,0.2,-0.1,-0.2
53,779,-6.2,13.0,0.2,collision
54,795,-6.5,16.0,0.2,collision
55,805,-5.9,10.0,0.2,collision
56,820,-6.4,15.0,0.2,collision
57,832,-6.1,12.0,0.2,collision
58,845,-6.2,13.0,0.2,collision
59,855,-5.9,10.0,0.2,collision
60,866,-6.0,11.0,0.2,collision
61,877,-6.0,11.0,0.2,collision
62,892,-6.4,15.0,0.2,collision
63,7,896,6.661754994194741e+21,0.4542868758241336,-18.287948608398438,0.2,-0.1,-0.4
63,905,-6.2,13.0,0.2,collision
64,914,-5.8,9.0,0.2,collision
65,927,-1.3,13.0,0.2,collision
66,935,-5.7,8.0,0.2,collision
67,944,-5.8,9.0,0.2,collision
68,952,-5.7,8.0,0.2,collision
69,961,-5.8,9.0,0.2,collision
70,973,-6.1,12.0,0.2,collision
71,983,-5.9,10.0,0.2,collision
72,992,-5.8,9.0,0.2,collision
73,1002,-5.9,10.0,0.2,collision
74,1011,-5.8,9.0,0.2,collision
75,1021,-5.9,10.0,0.2,collision
76,8,1024,4.746257728254802e+20,0.48769407471021015,-18.287948608398438,0.2,-0.1,-0.30000000000000004
76,1031,-5.9,10.0,0.2,collision
77,1039,-5.7,8.0,0.2,collision
78,1052,-6.2,13.0,0.2,collision
79,1067,-6.4,15.0,0.2,collision
80,1077,-5.9,10.0,0.2,collision
81,1090,-6.2,13.0,0.2,collision
82,1101,-6.0,11.0,0.2,collision
83,1109,-5.7,8.0,0.2,collision
84,1127,-6.7,18.0,0.2,collision
85,1136,-5.8,9.0,0.2,collision
86,1148,-6.1,12.0,0.2,collision
87,9,1152,1.387719994998224e+21,0.5316889869670073,-18.287948608398438,0.2,-0.1,-0.4
87,1160,-6.1,12.0,0.2,collision
88,1170,-5.9,10.0,0.2,collision
89,1182,-6.1,12.0,0.2,collision
90,1190,-5.7,8.0,0.2,collision
91,1215,-7.4,25.0,0.2,collision
92,1223,-5.7,8.0,0.2,collision
93,1235,-6.1,12.0,0.2,collision
94,1244,-5.8,9.0,0.2,collision
95,1253,-5.8,9.0,0.2,collision
96,1262,-5.8,9.0,0.2,collision
97,1275,-6.2,13.0,0.2,collision
98,10,1280,2.464909332221505e+22,0.5698593944311142,-18.287948608398438,0.2,-0.1,-0.5
98,1295,-6.9,20.0,0.2,collision
99,1311,-6.5,16.0,0.2,collision
100,1327,-6.5,16.0,0.2,collision
101,1338,-6.0,11.0,0.2,collision
102,1357,-6.800000000000001,19.0,0.2,collision
103,1367,-5.9,10.0,0.2,collision
104,1380,-6.2,13.0,0.2,collision
105,1398,-6.7,18.0,0.2,collision
106,11,1408,1.201206819028992e+16,0.5307575613260269,-18.287948608398438,0.2,-5.0,-5.9
106,1408,-5.9,10.0,0.2,collision
107,1421,-6.2,13.0,0.2,collision
108,1431,-5.9,10.0,0.2,collision
109,1440,-5.8,9.0,0.2,collision
110,1453,-6.2,13.0,0.2,collision
111,1464,-6.0,11.0,0.2,collision
112,1484,-6.9,20.0,0.2,collision
113,1495,-6.0,11.0,0.2,collision
114,1505,-0.9999999999999999,10.0,0.2,collision
115,1513,-5.7,8.0,0.2,collision
116,12,1536,7.736276915882172e+19,0.5721387006342411,-18.287948608398438,0.2,-0.1,-2.3000000000000007
116,1541,-7.700000000000001,28.0,0.2,collision
117,1550,-5.8,9.0,0.2,collision
118,1560,-5.9,10.0,0.2,collision
119,1569,-5.8,9.0,0.2,collision
120,1577,-5.7,8.0,0.2,collision
121,1590,-1.3,13.0,0.2,collision
122,1597,-5.6,7.0,0.2,collision
123,1614,-6.6000000000000005,17.0,0.2,collision
124,1624,-5.9,10.0,0.2,collision
125,1635,-6.0,11.0,0.2,collision
126,1642,-5.6,7.0,0.2,collision
127,1653,-6.0,11.0,0.2,collision
128,13,1664,8.008738442848904e+22,0.5426656877001127,-18.287948608398438,0.2,-0.1,-1.0999999999999999
128,1667,-6.3,14.0,0.2,collision
129,1676,-5.8,9.0,0.2,collision
130,1685,-5.8,9.0,0.2,collision
131,1697,-6.1,12.0,0.2,collision
132,1712,-6.4,15.0,0.2,collision
133,1726,-6.3,14.0,0.2,collision
134,1741,-6.4,15.0,0.2,collision
135,1752,-6.0,11.0,0.2,collision
136,1761,-5.8,9.0,0.2,collision
137,1770,-5.8,9.0,0.2,collision
138,1779,-5.8,9.0,0.2,collision
139,14,1792,1.1119301703273315e+20,0.5530692674219608,-18.287948608398438,0.2,-5.0,-6.2
139,1792,-6.2,13.0,0.2,collision
140,1824,-8.100000000000001,32.0,0.2,collision
141,1840,-6.5,16.0,0.2,collision
142,1849,-5.8,9.0,0.2,collision
143,1861,-6.1,12.0,0.2,collision
144,1872,-6.0,11.0,0.2,collision
145,1880,-5.7,8.0,0.2,collision
146,1895,-6.4,15.0,0.2,collision
147,1906,-6.0,11.0,0.2,collision
148,1915,-5.8,9.0,0.2,collision
149,15,1920,5.987716704258245e+20,0.5352707964678606,-18.287948608398438,0.2,-0.1,-0.5
149,1924,-5.8,9.0,0.2,collision
150,1934,-5.9,10.0,0.2,collision
151,1947,-6.2,13.0,0.2,collision
152,1959,-6.1,12.0,0.2,collision
153,1969,-5.9,10.0,0.2,collision
154,1987,-6.7,18.0,0.2,collision
155,2000,-6.2,13.0,0.2,collision
156,2008,-5.7,8.0,0.2,collision
157,2017,-5.8,9.0,0.2,collision
158,2028,-6.0,11.0,0.2,collision
159,2039,-6.0,11.0,0.2,collision
160,16,2048,2.0862719596807705e+22,0.6102268509566784,-18.287948608398438,0.2,-0.1,-0.8999999999999999
160,2049,-5.9,10.0,0.2,collision
161,2059,-5.9,10.0,0.2,collision
162,2069,-5.9,10.0,0.2,collision
163,2081,-6.1,12.0,0.2,collision
164,2106,-7.4,25.0,0.2,collision
165,2116,-0.9999999999999999,10.0,0.2,collision
166,2126,-0.9999999999999999,10.0,0.2,collision
167,2135,-5.8,9.0,0.2,collision
168,2146,-6.0,11.0,0.2,collision
169,2157,-6.0,11.0,0.2,collision
170,2168,-6.0,11.0,0.2,collision
171,17,2176,9.482289329031506e+19,0.49611585463086766,-18.287948608398438,0.2,-0.1,-0.7999999999999999
171,2179,-6.0,11.0,0.2,collision
172,2187,-5.7,8.0,0.2,collision
173,2200,-1.3,13.0,0.2,collision
174,2222,-7.1000000000000005,22.0,0.2,collision
175,2232,-5.9,10.0,0.2,collision
176,2242,-5.9,10.0,0.2,collision
177,2255,-6.2,13.0,0.2,collision
178,2266,-6.0,11.0,0.2,collision
179,2285,-1.9000000000000006,19.0,0.2,collision
180,2293,-5.7,8.0,0.2,collision
181,18,2304,3.6357256396958796e+21,0.5767193958163261,-18.287948608398438,0.2,-5.0,-6.0
181,2304,-6.0,11.0,0.2,collision
182,2314,-5.9,10.0,0.2,collision
183,2325,-6.0,11.0,0.2,collision
184,2337,-6.1,12.0,0.2,collision
185,2353,-6.5,16.0,0.2,collision
186,2362,-5.8,9.0,0.2,collision
187,2370,-5.7,8.0,0.2,collision
188,2383,-6.2,13.0,0.2,collision
189,2392,-5.8,9.0,0.2,collision
190,2403,-6.0,11.0,0.2,collision
191,2411,-5.7,8.0,0.2,collision
192,2421,-5.9,10.0,0.2,collision
193,2430,-5.8,9.0,0.2,collision
194,19,2432,7.154237878978317e+20,0.612318079918623,-18.287948608398438,0.2,-0.1,-0.2
194,2441,-1.0999999999999999,11.0,0.2,collision
195,2448,-5.6,7.0,0.2,collision
196,2457,-5.8,9.0,0.2,collision
197,2470,-1.3,13.0,0.2,collision
198,2479,-0.8999999999999999,9.0,0.2,collision
199,2487,-5.7,8.0,0.2,collision
200,2497,-5.9,10.0,0.2,collision
201,2512,-6.4,15.0,0.2,collision
202,2522,-5.9,10.0,0.2,collision
203,2535,-6.2,13.0,0.2,collision
204,2544,-5.8,9.0,0.2,collision
205,2553,-5.8,9.0,0.2,collision
206,20,2560,1.2191633877617345e+19,0.6021779924631119,-18.287948608398438,0.2,-0.1,-0.7
206,2562,-5.8,9.0,0.2,collision
207,2575,-6.2,13.0,0.2,collision
208,2583,-5.7,8.0,0.2,collision
209,2597,-6.3,14.0,0.2,collision
210,2615,-6.7,18.0,0.2,collision
211,2627,-6.1,12.0,0.2,collision
212,2641,-1.4000000000000001,14.0,0.2,collision
213,2649,-5.7,8.0,0.2,collision
214,2666,-6.6000000000000005,17.0,0.2,collision
215,2677,-6.0,11.0,0.2,collision
216,21,2688,2.646715679784892e+21,0.5081569515168667,-18.287948608398438,0.2,-0.1,-1.0999999999999999
216,2691,-6.3,14.0,0.2,collision
217,2705,-1.4000000000000001,14.0,0.2,collision
218,2714,-5.8,9.0,0.2,collision
219,2724,-5.9,10.0,0.2,collision
220,2734,-5.9,10.0,0.2,collision
221,2744,-5.9,10.0,0.2,collision
222,2753,-5.8,9.0,0.2,collision
223,2763,-0.9999999999999999,10.0,0.2,collision
224,2770,-5.6,7.0,0.2,collision
0,11,-6.0,13.0,0.2,collision
1,23,-6.1,12.0,0.2,collision
2,35,-6.1,12.0,0.2,collision
3,45,-0.9999999999999999,10.0,0.2,collision
4,62,-6.6000000000000005,17.0,0.2,collision
5,78,-6.5,16.0,0.2,collision
6,89,-6.0,11.0,0.2,collision
7,98,-5.8,9.0,0.2,collision
8,116,-6.7,18.0,0.2,collision
9,127,-6.0,11.0,0.2,collision
10,1,128,4.8613055956825984e+20,0.5681282157699267,-18.287948608398438,0.2,-0.1,-0.1
10,137,-0.9999999999999999,10.0,0.2,collision
11,160,-7.200000000000001,23.0,0.2,collision
12,178,-6.7,18.0,0.2,collision
13,185,-5.6,7.0,0.2,collision
14,208,-7.200000000000001,23.0,0.2,collision
15,216,-5.7,8.0,0.2,collision
16,231,-6.4,15.0,0.2,collision
17,246,-6.4,15.0,0.2,collision
18,2,256,9.74362717056737e+19,0.6466510308285555,-18.287948608398438,0.2,-0.1,-0.9999999999999999
18,262,-6.5,16.0,0.2,collision
19,273,-6.0,11.0,0.2,collision
20,282,-5.8,9.0,0.2,collision
21,293,-6.0,11.0,0.2,collision
22,310,-6.6000000000000005,17.0,0.2,collision
23,322,-1.2,12.0,0.2,collision
24,332,-5.9,10.0,0.2,collision
25,341,-5.8,9.0,0.2,collision
26,352,-6.0,11.0,0.2,collision
27,364,-6.1,12.0,0.2,collision
28,373,-5.8,9.0,0.2,collision
29,3,384,3.448853476869612e+21,0.5216388801733652,-18.287948608398438,0.2,-5.0,-6.0
29,384,-6.0,11.0,0.2,collision
30,393,-5.8,9.0,0.2,collision
31,407,-6.3,14.0,0.2,collision
32,417,-5.9,10.0,0.2,collision
33,429,-6.1,12.0,0.2,collision
34,438,-5.8,9.0,0.2,collision
35,452,-6.3,14.0,0.2,collision
36,462,-5.9,10.0,0.2,collision
37,478,-6.5,16.0,0.2,collision
38,489,-6.0,11.0,0.2,collision
39,499,-5.9,10.0,0.2,collision
40,511,-6.1,12.0,0.2,collision
41,4,512,4.208900509380955e+19,0.5427151980499426,-18.287948608398438,0.2,-0.1,-0.1
0,13,-1.3,15.0,0.2,collision
1,20,-5.6,7.0,0.2,collision
2,30,-5.9,10.0,0.2,collision
3,38,-5.7,8.0,0.2,collision
4,48,-5.9,10.0,0.2,collision
5,61,-6.2,13.0,0.2,collision
6,72,-6.0,11.0,0.2,collision
7,91,-6.800000000000001,19.0,0.2,collision
8,97,-5.5,6.0,0.2,collision
9,118,-2.1000000000000005,21.0,0.2,collision
10,125,-5.6,7.0,0.2,collision
11,1,128,8.090734676672736e+20,0.5648088827729225,-18.287948608398438,0.2,-0.1,-0.30000000000000004
11,134,-5.8,9.0,0.2,collision
12,145,-6.0,11.0,0.2,collision
13,156,-6.0,11.0,0.2,collision
14,162,-5.5,6.0,0.2,collision
15,170,-5.7,8.0,0.2,collision
16,179,-5.8,9.0,0.2,collision
17,195,-6.5,16.0,0.2,collision
18,205,-5.9,10.0,0.2,collision
19,215,-5.9,10.0,0.2,collision
20,232,-6.6000000000000005,17.0,0.2,collision
21,244,-6.1,12.0,0.2,collision
22,2,256,6.5227197992900665e+19,0.5819013255337874,-18.287948608398438,0.2,-5.0,-6.1
22,256,-6.1,12.0,0.2,collision
23,268,-6.1,12.0,0.2,collision
24,277,-5.8,9.0,0.2,collision
25,284,-5.6,7.0,0.2,collision
26,293,-5.8,9.0,0.2,collision
27,303,-5.9,10.0,0.2,collision
28,312,-5.8,9.0,0.2,collision
29,323,-6.0,11.0,0.2,collision
30,338,-6.4,15.0,0.2,collision
31,347,-5.8,9.0,0.2,collision
32,354,-5.6,7.0,0.2,collision
33,371,-6.6000000000000005,17.0,0.2,collision
34,3,384,4.892860102856476e+21,0.5306094748278459,-18.287948608398438,0.2,-5.0,-6.2
34,384,-6.2,13.0,0.2,collision
35,391,-5.6,7.0,0.2,collision
36,399,-5.7,8.0,0.2,collision
37,408,-5.8,9.0,0.2,collision
38,418,-5.9,10.0,0.2,collision
39,428,-5.9,10.0,0.2,collision
40,438,-5.9,10.0,0.2,collision
41,452,-6.3,14.0,0.2,collision
42,462,-5.9,10.0,0.2,collision
43,473,-6.0,11.0,0.2,collision
44,495,-7.1000000000000005,22.0,0.2,collision
45,511,-6.5,16.0,0.2,collision
46,4,512,2.488949266319479e+19,0.50876742725571,-18.287948608398438,0.2,-0.1,-0.1
46,522,-6.0,11.0,0.2,collision
47,534,-6.1,12.0,0.2,collision
48,548,-6.3,14.0,0.2,collision
49,567,-6.800000000000001,19.0,0.2,collision
50,581,-6.3,14.0,0.2,collision
51,596,-6.4,15.0,0.2,collision
52,604,-5.7,8.0,0.2,collision
53,613,-5.8,9.0,0.2,collision
54,629,-6.5,16.0,0.2,collision
55,5,640,2.6006854310446865e+20,0.5902643091976643,-18.287948608398438,0.2,-5.0,-6.0
55,640,-6.0,11.0,0.2,collision
56,650,-5.9,10.0,0.2,collision
57,671,-2.1000000000000005,21.0,0.2,collision
58,683,-6.1,12.0,0.2,collision
59,694,-6.0,11.0,0.2,collision
60,708,-6.3,14.0,0.2,collision
61,725,-6.6000000000000005,17.0,0.2,collision
62,738,-6.2,13.0,0.2,collision
63,746,-5.7,8.0,0.2,collision
64,758,-6.1,12.0,0.2,collision
65,6,768,2.338333673239782e+22,0.5254747718572617,-18.287948608398438,0.2,-0.1,-0.9999999999999999
65,770,-6.1,12.0,0.2,collision
66,779,-5.8,9.0,0.2,collision
67,791,-6.1,12.0,0.2,collision
68,801,-5.9,10.0,0.2,collision
69,814,-6.2,13.0,0.2,collision
70,826,-6.1,12.0,0.2,collision
71,835,-5.8,9.0,0.2,collision
72,847,-6.1,12.0,0.2,collision
73,858,-6.0,11.0,0.2,collision
74,867,-5.8,9.0,0.2,collision
75,887,-6.9,20.0,0.2,collision
76,7,896,1.6871759179980776e+21,0.5604783544937769,-18.287948608398438,0.2,-0.1,-0.8999999999999999
76,897,-5.9,10.0,0.2,collision
0,11,-6.0,14.0,0.2,collision
1,23,-6.1,12.0,0.2,collision
2,33,-5.9,10.0,0.2,collision
3,43,-5.9,10.0,0.2,collision
4,61,-6.7,18.0,0.2,collision
5,69,-5.7,8.0,0.2,collision
6,78,-5.8,9.0,0.2,collision
7,97,-6.800000000000001,19.0,0.2,collision
8,122,-7.4,25.0,0.2,collision
9,1,128,1.2814684188746334e+21,0.5488468296825886,-18.287948608398438,0.2,-0.1,-0.6
9,135,-6.2,13.0,0.2,collision
10,146,-6.0,11.0,0.2,collision
11,157,-6.0,11.0,0.2,collision
12,177,-6.9,20.0,0.2,collision
13,189,-6.1,12.0,0.2,collision
